,site_name_act,site_name,rts,rel_inf_corr,max_sto,group,lat,long,geometry,dist,nid_idx,Dam_Name,Other_Dam_Name,State_ID,NID_ID,Num_Separate_Struct,Other_Structure_ID,Longitude,Latitude,Section,County,River,Owner_Name,Owner_Type,Private_Dam,Dam_Designer,Dam_Type,Core,Foundation,Primary_Purpose,All_Purposes,Year_Completed,Year_Modified,Dam_Length,Dam_Height,Structural_Height,Hydraulic_Height,NID_Height,Max_Discharge,Max_Storage,Normal_Storage,NID_Storage,Surface_Area,Drainage_Area,EAP,Inspection_Date,Inspection_Frequency,Spillway_Type,Spillway_Width,Outlet_Gates,Volume,Num_Locks,Length_Locks,Width_Locks,Permitting_Authority,Inspection_Authority,Enforcement_Authority,Jurisdictional_Dam,State_Reg_Dam,State_Reg_Agency,Fed_Funding,Fed_Design,Fed_Construction,Fed_Regulatory,Fed_Inspection,Fed_Operation,Fed_Owner,Fed_Other,Source_Agency,State,Submit_Date,Url_Address,Congress_Rep,Political_Party,Congress_District
71,Lemon,LEMON,223.9100984545208,0.8028353456084403,40.16459,high_rt,37.382549,-107.659343,POINT (-107.659343 37.382549),0.0017795645534725798,32954.0,BOR LOST CREEK (MORGAN),,UT10125,UT10125,0.0,,-111.3983,41.185,"08,5N~5E SL",MORGAN,LOST CREEK,DOI BR,Federal,N,,Earth,,,Irrigation,Irrigation,1966.0,,1110.0,,248.0,190.0,248.0,800.0,26800.0,22500.0,26800.0,,123.0,N,,0.0,U,0.0,,,,0.0,,Y,Y,Y,N,N,,,,,,,,,,UT,UT,02\06\2013,,Rob Bishop (R),R,UT01
72,Lost Creek,LOST CREEK,630.8277698295605,0.6571889019401962,23.171,high_rt,41.185867,-111.39784,POINT (-111.39784 41.185867),0.0009814728727798516,42506.0,MEEKS CABIN,,,WY01390,0.0,,-110.5792,41.0258,"SWSW 11,T12N,R117",UINTA,BLACKS FORK RIVER,DOI BR,Federal,N,DAVID P. MILLER,Earth,HEK,SZ,Irrigation,Irrigation,1970.0,,3162.0,185.0,185.0,166.0,185.0,6250.0,38720.0,32470.0,38720.0,473.0,151.0,Y,9/1/2009,1.0,U,30.0,S1;V2;O2,3587000.0,,0.0,,Y,Y,Y,N,N,,,,,,,,,,WY,WY,02\06\2013,,Cynthia M. Lummis (R),R,WY00
73,Meeks Cabin,MEEKS CABIN,87.47261763974764,0.860926492471666,30.876,high_rt,41.025296,-110.582609,POINT (-110.582609 41.025296),0.0034460552810471083,50165.0,MORROW POINT,,620111,CO01689,0.0,,-107.5405,38.4516,"S4 , T48N, R6W of New Mexico PM",MONTROSE,GUNNISON RIVER,U. S. BUREAU OF RECLAMATION,Federal,N,,,HCK,RK,Hydroelectric,Hydroelectric,1968.0,,724.0,400.0,468.0,400.0,468.0,41000.0,121275.0,117190.0,121275.0,817.0,3637.0,Y,9/24/1997,1.0,N,60.0,L;L;L;L;S;S,365180.0,,0.0,,Y,Y,Y,N,N,,,,,,,,,,CO,CO,02\04\2013,,Scott R. Tipton (R),R,CO03
74,Morrow Point,MORROW POINT,80.88904802449913,0.9399788760534872,120.132031,high_rt,38.451537,-107.53435,POINT (-107.53435 38.451537),0.0061503226744528535,44652.0,NAVAJO,,,NM00120,0.0,,-107.6117,36.8015,,"SAN JUAN, RIO ARRIBA",SAN JUAN RIVER,DOI BR,Federal,N,,Earth,A,RK,Flood Control,"Irrigation, Flood Control, Recreation",1962.0,,3648.0,402.0,402.0,382.0,402.0,34000.0,1986600.0,1708600.0,1986600.0,15610.0,3190.0,Y,4/12/2012,1.0,U,132.0,,26840900.0,,0.0,,N,N,N,N,N,,DOI BR,,,DOI BR;FERC,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,NM,03\01\2013,,Ben Ray Luj??n (D),D,NM03
75,Navajo,NAVAJO,1103.9635692821887,0.6560801973805781,1680.64063,high_rt,36.801492,-107.609481,POINT (-107.609481 36.801492),0.0022190144208600795,33671.0,RIDGWAY,,680114,CO02706,0.0,,-107.7585,38.2366,,OURAY,UMCOMPAHGRE RIVER,DOI BR,Federal,N,,Earth,A,RK,Flood Control,"Irrigation, Flood Control, Water Supply, Recreation",1986.0,,2465.0,330.0,330.0,221.0,330.0,9830.0,89230.0,84410.0,89230.0,1065.0,265.0,Y,7/25/2012,1.0,U,129.0,,10700000.0,,0.0,,Y,Y,Y,Y,Y,DWR,DOI BR,,,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,CO,03\01\2013,,Scott R. Tipton (R),R,CO03
76,Ridgway,RIDGWAY,360.4975201975513,0.7868770585963706,84.71900000000001,high_rt,38.236944,-107.758611,POINT (-107.758611 38.236944),0.00036146507438443193,64484.0,RUEDI,,380136,CO01664,0.0,,-106.8183,39.3613,"S18 , T8S, R84W of Sixth PM",PITKIN,FRYINGPAN RIVER,U.S. BUREAU OF RECLAMATION,Federal,Y,BOR,Earth,EKI,RSK,Hydroelectric,"Irrigation, Hydroelectric, Water Supply, Recreation, Other",1968.0,,1060.0,291.0,322.0,291.0,322.0,5540.0,119560.0,102369.0,119560.0,998.0,223.0,Y,6/26/2003,1.0,U,25.0,V6,4327008.0,,0.0,,Y,Y,Y,N,N,,,,,,,,,,CO,CO,02\04\2013,,Scott R. Tipton (R),R,CO03
77,Ruedi Reservoir,RUEDI RESERVOIR,460.9908717843319,0.6549162008612002,103.927,high_rt,39.364977,-106.814496,POINT (-106.814496 39.364977),0.005290628034546922,44656.0,SANTA ROSA DAM,SANTA ROSA LAKE,10080,NM00158,0.0,,-104.6883,35.0283,"T9N, R22E",GUADALUPE,PECOS RIVER,CESPA,Federal,N,CESPA,Earth,I,R,Flood Control,"Irrigation, Flood Control, Recreation, Other",1979.0,,1900.0,214.0,214.0,208.0,214.0,353000.0,717000.0,200000.0,717000.0,16670.0,2434.0,Y,4/17/2012,5.0,U,1050.0,Vertical Lift,,,0.0,,N,N,N,N,N,,CE,CE,CE,CE,CE,CE,CE,CE,CE,NM,02\27\2013,,Stevan Pearce (R),R,NM02
78,Santa Rosa ,SANTA ROSA ,824.9407692209521,0.0072866709555765,108.4,high_rt,35.02896,-104.688235,POINT (-104.688235 35.02896),0.0006631930337346308,61127.0,SILVER JACK,,620112,CO01693,0.0,,-107.5438,38.2449,"S20 , T46N, R6W of New Mexico PM",GUNNISON,CIMARRON RIVER,U. S. BUREAU OF RECLAMATION,Federal,N,,Earth,EKI,RK,Irrigation,Irrigation,1971.0,,1050.0,173.0,173.0,132.0,173.0,6220.0,15400.0,13520.0,15400.0,293.0,66.8,Y,8/2/2000,1.0,N,30.0,U;S;V,1278140.0,,0.0,,Y,Y,Y,N,N,,,,,,,,,,CO,CO,02\04\2013,,Scott R. Tipton (R),R,CO03
79,Silver Jack,SILVER JACK,69.2674166794944,0.9455812457510364,13.545,high_rt,38.230238,-107.540387,POINT (-107.540387 38.230238),0.015053996578985231,50333.0,SMITH AND MOREHOUSE,,UT00280,UT00280,0.0,,-111.1016,40.7633,"01,1S~7E SL",SUMMIT,SMITH & MOREHOUSE CREEK,WEBER BASIN WATER CONSERVANCY DISTRICT,Private,N,PALMER-WILDING CONSULTING ENGINEERS,Earth,,,Irrigation,Irrigation,1987.0,,2200.0,,92.0,82.0,92.0,220.0,10500.0,8350.0,10500.0,,27.0,Y,8/10/2012,0.0,U,0.0,,,,0.0,,Y,Y,Y,Y,Y,,,,,,,,,,UT,UT,02\06\2013,,Rob Bishop (R),R,UT01
80,Smith & Morehouse Reservoir,SMITH & MOREHOUSE RESERVOIR,107.8057613780901,0.944199292017539,8.552,high_rt,40.76266,-111.104034,POINT (-111.104034 40.76266),0.0025167351867002876,66409.0,STARVATION,,UT10136,UT10136,0.0,,-110.4435,40.191,,DUCHESNE,STRAWBERRY RIVER,DOI BR,Federal,N,,Earth,A,RK,Irrigation,Irrigation,1969.0,,3070.0,210.0,210.0,155.0,210.0,16600.0,186990.0,165320.0,186990.0,3560.0,1055.0,Y,8/11/2011,1.0,U,300.0,,4831000.0,,0.0,,N,N,N,N,N,,DOI BR,,,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,UT,03\01\2013,,Rob Bishop (R),R,UT01
81,Starvation,STARVATION,711.5396905147877,0.2353067800129647,163.737,high_rt,40.191264,-110.444834,POINT (-110.444834 40.191264),0.0013598720528038037,47947.0,TAYLOR PARK,,590109,CO00151,0.0,,-106.6072,38.8183,"S24 , T14S, R83W of Sixth PM",GUNNISON,TAYLOR RIVER,U. S. BUREAU OF RECLAMATION,Federal,N,,Earth,EKI,RK,Irrigation,Irrigation,1937.0,,675.0,161.0,161.0,161.0,161.0,10000.0,118428.0,106200.0,118428.0,2040.0,437.0,Y,6/29/2000,1.0,N,180.0,U;N;N,1115000.0,,0.0,,Y,Y,Y,N,N,,,,,,,,,,CO,CO,02\04\2013,,Scott R. Tipton (R),R,CO03
82,Taylor Park,TAYLOR PARK,359.12202239543853,0.4143739202106155,109.282,high_rt,38.820602,-106.604289,POINT (-106.604289 38.820602),0.0037112161079717516,11177.0,VALLECITO,,310105,CO01695,0.0,,-107.5729,37.3765,"S18 , T36N, R6W of New Mexico PM",LA PLATA,LOS PINOS RIVER,DOI BR,Federal,N,,Earth,A,RK,Fish and Wildlife Pond,"Irrigation, Hydroelectric, Recreation, Fish and Wildlife Pond",1940.0,,4010.0,162.0,162.0,118.0,162.0,,136200.0,126700.0,136200.0,2720.0,270.0,Y,8/28/2012,1.0,N,0.0,,3738000.0,,0.0,,Y,Y,Y,Y,Y,DWR,DOI BR,,,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,DOI BR,CO,03\01\2013,,Scott R. Tipton (R),R,CO03
83,Vallecito,VALLECITO,168.1876116169019,0.7754933035797645,126.79176,high_rt,37.377799,-107.572064,POINT (-107.572064 37.377799),0.001544764383334609,11138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
